type,latitude,longitude,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,amenities,water_supply,building_type,balconies
BHK2,12.9344709,77.634471,FAMILY,0,SEMI_FURNISHED,BOTH,1250,25,2,E,2,6,12,15.0,CORP_BORE,AP,2
BHK2,12.92955671,77.6722797,ANYONE,1,SEMI_FURNISHED,BOTH,1400,4,2,NE,2,3,4,8.0,CORPORATION,AP,2
BHK3,12.98287026,80.26201214,FAMILY,0,SEMI_FURNISHED,BOTH,1350,6,3,E,3,1,5,6.0,CORP_BORE,AP,3
BHK1,12.95599061,77.53163369,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,600,3,1,E,1,1,2,0.0,CORPORATION,IH,0
BHK3,12.96390329,77.64944586,FAMILY,1,SEMI_FURNISHED,BOTH,1500,15,3,E,4,0,0,3.0,CORPORATION,IH,1
BHK1,12.9861959,77.7183141,FAMILY,1,SEMI_FURNISHED,BOTH,1080,0,2,E,1,3,5,8.0,CORP_BORE,AP,2
BHK3,12.9671442,77.7506621,ANYONE,1,FULLY_FURNISHED,BOTH,1895,5,3,NE,5,3,9,18.0,CORPORATION,AP,3
BHK2,12.91741383,77.63176379,ANYONE,1,SEMI_FURNISHED,BOTH,1000,10,2,S,2,0,2,3.0,CORP_BORE,IH,0
BHK2,12.92330118,77.55632407,ANYONE,0,SEMI_FURNISHED,NONE,900,10,2,S,2,0,1,4.0,CORPORATION,IH,0
BHK2,12.97269719,77.75188033,ANYONE,1,SEMI_FURNISHED,BOTH,1290,4,2,E,4,2,4,13.0,CORP_BORE,AP,2
BHK2,12.91203861,77.51095016,FAMILY,1,SEMI_FURNISHED,BOTH,1200,2,2,E,4,1,2,0.0,CORPORATION,IF,1
BHK2,12.9861748,77.7359562,ANYONE,1,FULLY_FURNISHED,FOUR_WHEELER,1300,8,2,N,2,1,4,13.0,CORPORATION,AP,2
BHK2,12.92503445,77.51711461,ANYONE,1,SEMI_FURNISHED,BOTH,930,7,2,E,2,1,4,11.0,CORPORATION,AP,1
BHK2,12.9890022,77.7273703,FAMILY,0,SEMI_FURNISHED,FOUR_WHEELER,1418,4,2,E,2,11,14,12.0,CORP_BORE,AP,2
BHK1,12.95477496,77.65003747,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,600,10,1,E,1,2,2,3.0,CORPORATION,IH,0
BHK2,12.98651659,77.57478136,FAMILY,1,NOT_FURNISHED,TWO_WHEELER,1200,2,1,E,0,1,3,2.0,CORP_BORE,IF,1
BHK3,12.99852641,77.63100653,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1200,3,2,E,2,1,3,5.0,CORPORATION,IH,2
BHK3,12.9082396,77.6074088,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,1200,10,2,E,0,1,2,0.0,CORPORATION,IF,1
BHK2,12.90057001,77.70788521,FAMILY,0,SEMI_FURNISHED,BOTH,1020,0,2,SE,2,4,15,12.0,CORPORATION,AP,2
BHK2,12.9243632,77.6532669,ANYONE,1,SEMI_FURNISHED,BOTH,1084,10,2,E,2,0,4,8.0,CORPORATION,AP,3
BHK2,12.9746806,77.70353616,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1285,3,2,W,2,0,5,12.0,BOREWELL,AP,0
BHK2,12.95186174,77.7066702,ANYONE,1,SEMI_FURNISHED,NONE,600,1,1,E,2,2,2,1.0,CORPORATION,IF,1
BHK1,12.9960482,77.719061,ANYONE,1,NOT_FURNISHED,BOTH,800,1,1,W,0,0,4,7.0,CORP_BORE,AP,1
BHK3,12.9923765,77.7026845,FAMILY,1,SEMI_FURNISHED,BOTH,1610,8,2,E,6,2,19,16.0,CORP_BORE,AP,3
BHK2,12.90803896,77.62437345,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1100,10,2,N,2,1,2,3.0,CORP_BORE,IF,1
BHK2,12.98529219,77.71810454,ANYONE,1,SEMI_FURNISHED,BOTH,1200,10,2,E,2,0,1,0.0,CORP_BORE,IF,0
BHK2,12.9937143,77.6807931,ANYONE,0,SEMI_FURNISHED,BOTH,800,3,2,E,1,3,3,13.0,CORP_BORE,AP,0
BHK2,12.95216607,77.62247264,FAMILY,1,SEMI_FURNISHED,NONE,800,12,1,E,2,0,0,3.0,CORPORATION,IF,0
BHK2,12.9336504,77.7022315,FAMILY,1,SEMI_FURNISHED,BOTH,1484,1,2,N,1,1,4,15.0,CORPORATION,AP,1
BHK2,12.97182324,77.52198776,FAMILY,1,SEMI_FURNISHED,NONE,500,10,1,N,2,2,2,0.0,CORP_BORE,IF,0
BHK2,12.97372627,77.70822144,ANYONE,0,SEMI_FURNISHED,BOTH,1200,5,2,W,2,2,4,6.0,CORPORATION,AP,1
BHK2,12.95963193,77.74794814,ANYONE,0,FULLY_FURNISHED,BOTH,1300,8,2,S,2,1,1,3.0,CORPORATION,IH,2
RK1,12.97235646,77.64366828,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,250,10,1,E,1,0,2,4.0,CORPORATION,IF,0
BHK3,12.99151617,77.70293323,ANYONE,1,FULLY_FURNISHED,BOTH,1860,5,3,NE,5,14,20,17.0,CORPORATION,AP,3
RK1,12.96146892,77.71904367,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,250,0,1,N,1,3,3,3.0,CORPORATION,IF,0
BHK2,12.98220154,77.64837989,ANYONE,0,SEMI_FURNISHED,BOTH,972,0,2,E,5,2,3,2.0,CORPORATION,AP,3
BHK3,12.91085303,77.57827029,FAMILY,1,SEMI_FURNISHED,BOTH,1050,15,2,E,4,1,2,2.0,BOREWELL,AP,1
BHK2,12.96254812,77.68155776,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,850,1,2,N,2,2,2,3.0,CORPORATION,IF,1
BHK2,12.9297994,77.58953323,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1050,10,1,E,3,2,3,2.0,CORP_BORE,IF,0
BHK2,12.9076634,77.54547321,FAMILY,1,SEMI_FURNISHED,BOTH,1175,0,2,N,3,4,5,14.0,CORP_BORE,AP,2
BHK3,12.91615213,77.67418514,ANYONE,1,FULLY_FURNISHED,BOTH,1876,1,3,N,5,3,9,8.0,CORPORATION,AP,4
BHK2,12.97217341,77.65388683,ANYONE,1,SEMI_FURNISHED,BOTH,750,5,1,E,2,0,0,2.0,CORPORATION,IH,0
BHK2,12.94366081,77.60393738,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,900,12,1,N,2,2,2,4.0,CORP_BORE,IF,1
BHK3,12.92394273,77.5839551,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1200,10,2,N,4,1,1,4.0,BOREWELL,IF,1
BHK2,12.9425468,77.5625781,FAMILY,1,SEMI_FURNISHED,BOTH,900,7,2,S,3,0,1,2.0,CORPORATION,IF,0
BHK2,12.98905751,77.54061036,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1100,9,2,N,5,3,3,1.0,CORP_BORE,IF,1
BHK2,12.90771214,77.68045842,FAMILY,0,SEMI_FURNISHED,FOUR_WHEELER,1230,0,2,E,2,2,3,15.0,BOREWELL,AP,2
BHK3,12.9834759,77.7755112,ANYONE,1,SEMI_FURNISHED,BOTH,1435,0,2,E,4,0,4,13.0,CORPORATION,AP,3
BHK1,12.91627014,77.60292892,FAMILY,0,NOT_FURNISHED,TWO_WHEELER,400,10,1,E,0,0,1,0.0,CORP_BORE,IF,0
BHK2,12.91717561,77.54679294,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,8,2,E,2,1,2,1.0,CORP_BORE,IF,0
BHK3,12.9004037,77.5712556,ANYONE,1,SEMI_FURNISHED,BOTH,1360,2,3,E,3,2,3,2.0,CORP_BORE,AP,1
RK1,12.97448255,77.63312254,BACHELOR,0,SEMI_FURNISHED,TWO_WHEELER,120,5,1,SE,1,3,3,2.0,CORP_BORE,IF,0
BHK1,12.94858457,77.60159785,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,650,10,1,E,1,1,3,1.0,CORP_BORE,IF,1
BHK2,12.91875984,77.525182,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,900,5,2,N,2,1,3,0.0,CORP_BORE,IF,0
BHK2,12.93816505,77.62890921,FAMILY,1,SEMI_FURNISHED,BOTH,1172,16,2,E,2,0,4,11.0,CORP_BORE,AP,1
BHK1,12.9661428,77.5490677,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,225,8,1,E,1,2,2,4.0,CORPORATION,IF,1
BHK2,12.96712395,77.73769691,FAMILY,0,SEMI_FURNISHED,BOTH,1100,4,2,N,2,4,4,6.0,BOREWELL,AP,2
